Student Id,Number of Logins,Number of Content Reads,Interaction,Number of Forum Reads,Number of Forum Posts,Number of Quiz Reviews,Assignment 1 lateness indicator,Assignment 2 lateness indicator,Assignment 3 lateness indicator,Assignment 1 duration to submit (in hours),Assignment 2 duration to submit (in hours),Assignment 3 duration to submit (in hours),Average Assignment duration to submit (in hours)
365,70,52,76,20,8,21,No,Yes,Yes,35,29,47,38
366,66,16,184,7,10,20,No,No,Yes,38,69,27,61
367,49,47,154,6,6,23,No,No,Yes,71,40,70,52
368,55,46,79,17,4,26,Yes,Yes,Yes,34,35,29,67
369,66,25,132,13,6,26,Yes,Yes,No,69,35,42,43
370,21,31,58,6,2,31,No,Yes,No,63,68,51,47
371,37,31,87,6,3,16,Yes,No,Yes,24,45,55,47
372,21,45,79,20,2,37,No,No,No,54,53,68,38
373,54,49,118,9,8,15,No,Yes,No,71,44,59,69
374,64,22,123,5,10,27,No,No,Yes,57,24,53,49
375,68,54,53,12,9,35,No,Yes,No,72,72,45,43
376,51,32,55,7,1,10,Yes,No,No,55,24,67,67
377,49,19,95,8,2,13,No,No,Yes,40,27,30,56
378,59,59,88,5,5,17,Yes,Yes,No,25,65,60,68
379,57,50,162,11,2,14,Yes,Yes,No,71,72,51,72
380,63,20,184,7,4,30,No,No,No,63,49,70,71
381,67,47,78,14,1,40,Yes,Yes,No,35,31,69,63
382,37,20,51,12,6,36,No,No,Yes,33,33,65,55
383,24,60,139,6,3,20,Yes,Yes,Yes,50,60,30,68
384,24,41,154,8,1,29,No,Yes,Yes,68,62,26,36
385,22,22,55,18,8,14,No,No,Yes,46,71,56,54
386,56,16,126,20,9,26,Yes,Yes,No,64,34,41,42
387,53,29,81,20,8,35,Yes,Yes,No,71,30,71,67
388,58,47,91,13,1,28,No,Yes,Yes,60,38,41,58
389,58,54,69,14,2,38,Yes,Yes,Yes,52,68,46,49
390,32,36,171,7,4,10,No,No,Yes,61,43,37,49
391,34,30,119,12,0,23,No,Yes,No,70,52,50,55
392,20,55,196,19,1,16,No,No,Yes,30,28,63,42
393,29,57,177,16,7,40,Yes,No,No,61,59,62,66
394,69,29,192,10,9,40,Yes,No,Yes,32,72,38,39
395,28,59,176,10,3,26,No,Yes,Yes,25,61,59,55
396,37,19,64,13,6,16,No,Yes,Yes,70,60,67,48
397,54,28,82,20,9,28,No,Yes,Yes,58,46,35,38
398,58,48,60,17,3,11,Yes,No,Yes,54,57,51,63
399,54,25,134,11,4,26,Yes,No,No,60,70,27,45
400,60,32,200,19,7,16,No,No,No,65,42,25,51
401,51,31,56,20,1,12,No,No,No,61,54,71,55
402,42,55,196,13,2,11,No,Yes,Yes,51,37,31,57
403,57,26,200,5,8,15,No,No,No,63,31,33,70
404,42,37,155,8,8,22,No,No,No,31,25,63,47
405,56,28,71,10,3,38,Yes,No,Yes,67,43,27,65
406,48,36,89,7,7,34,Yes,Yes,Yes,65,38,63,47
407,61,42,128,10,2,23,Yes,No,Yes,52,30,31,60
408,21,46,113,5,0,19,Yes,Yes,No,69,39,35,69
409,24,47,158,14,7,20,No,No,Yes,48,68,70,60
410,42,47,51,12,0,12,Yes,Yes,No,25,71,66,59
411,28,49,199,7,2,35,Yes,Yes,No,53,71,58,61
412,58,16,105,5,2,27,No,Yes,No,63,29,55,38
413,31,25,195,5,0,31,No,No,No,41,48,54,65
414,66,18,104,11,5,28,No,No,Yes,42,43,63,39
415,31,51,60,16,7,16,No,Yes,Yes,49,50,48,37
416,25,38,141,15,3,21,Yes,No,Yes,41,41,32,71
417,50,36,174,20,4,10,No,No,Yes,67,58,44,41
418,44,41,88,18,6,38,Yes,No,No,33,38,33,57
419,34,49,106,9,3,12,No,Yes,Yes,46,58,72,37
420,29,59,115,13,1,22,No,No,Yes,30,24,54,67
421,67,29,184,15,1,12,No,No,Yes,41,33,36,57
422,56,39,171,5,4,17,No,No,No,70,57,32,56
423,20,21,56,14,6,22,Yes,No,Yes,38,72,53,60
424,37,52,163,10,9,38,Yes,Yes,Yes,67,52,56,66
425,52,47,175,10,6,25,Yes,Yes,Yes,26,37,49,60
426,31,53,57,9,7,22,No,No,Yes,64,31,35,48
427,27,34,120,17,8,24,No,No,No,64,64,47,36
428,47,37,127,5,4,19,Yes,Yes,Yes,55,53,47,63
429,60,33,130,11,0,31,No,No,Yes,44,57,42,55
430,31,44,80,8,3,12,No,No,Yes,56,63,24,64
431,32,57,197,20,7,30,Yes,No,Yes,64,56,50,64
432,34,19,85,5,1,35,Yes,No,No,66,69,51,55
433,37,43,109,12,3,36,Yes,Yes,Yes,48,45,33,62
434,55,23,67,17,0,36,Yes,Yes,Yes,33,45,47,51
435,64,19,90,18,1,23,No,Yes,No,51,70,32,58
436,67,41,92,7,7,38,No,No,No,56,57,69,62
437,29,57,110,7,10,26,Yes,Yes,Yes,53,58,27,45
438,38,29,141,14,0,36,No,No,No,66,66,61,63
439,56,57,185,14,5,20,Yes,No,No,53,32,28,72
440,55,42,111,17,4,22,Yes,Yes,No,44,37,66,41
441,51,28,160,12,0,13,Yes,No,No,32,55,53,41
442,35,32,60,14,4,22,Yes,No,Yes,55,63,35,52
443,47,53,77,7,2,23,Yes,No,No,27,28,67,69
444,27,29,185,8,5,26,No,No,Yes,34,52,60,38
445,63,41,70,17,1,28,Yes,Yes,No,36,27,45,61
446,34,29,170,11,6,37,No,Yes,No,55,40,29,52
447,41,29,52,11,1,36,Yes,Yes,No,69,25,54,54
448,62,43,122,15,6,17,No,No,No,30,68,51,67
449,66,52,50,6,8,34,Yes,No,Yes,61,40,26,65
450,69,24,88,13,9,36,Yes,Yes,Yes,70,66,50,46
451,20,60,128,7,9,29,Yes,No,Yes,65,27,34,47
452,29,38,195,18,7,24,No,Yes,No,58,38,26,45
453,50,22,105,11,3,22,No,No,Yes,57,43,58,39
454,56,24,150,8,2,37,No,Yes,Yes,40,57,24,67
455,33,49,117,11,10,39,Yes,No,No,54,60,45,52
456,20,23,150,18,7,30,Yes,Yes,No,36,39,38,65
457,41,45,196,14,0,34,Yes,No,No,54,60,68,38
458,26,43,147,7,4,19,No,Yes,Yes,50,53,60,36
459,46,59,71,12,9,17,No,No,No,27,34,65,64
460,39,60,110,6,1,35,No,No,No,41,58,61,40
461,53,18,83,16,2,18,Yes,No,Yes,69,60,33,48
462,67,25,126,17,1,36,Yes,No,Yes,67,63,25,47
463,50,56,133,11,10,18,Yes,Yes,No,37,29,44,64
464,23,54,70,6,5,32,Yes,No,Yes,60,56,70,54
465,61,20,128,9,4,22,No,Yes,No,26,52,31,60
466,38,16,69,12,6,14,No,Yes,No,44,30,56,53
467,53,48,103,12,1,16,No,No,Yes,46,37,66,42
468,62,47,65,16,3,19,Yes,No,No,57,47,38,37
469,64,21,119,5,5,38,No,No,No,66,43,70,51
470,54,29,127,9,8,37,No,No,No,47,47,63,47
471,28,54,97,9,5,14,Yes,Yes,Yes,70,41,61,54
472,66,55,131,9,6,36,No,Yes,No,33,27,26,71
473,41,49,68,9,6,34,No,Yes,Yes,70,63,63,62
474,52,60,163,15,6,33,Yes,Yes,No,63,48,41,72
475,32,21,52,7,1,23,Yes,No,Yes,28,28,30,53
476,38,41,190,20,7,31,Yes,No,No,46,72,68,60
477,51,51,194,12,3,18,No,Yes,No,29,38,67,59
478,59,41,171,18,7,30,Yes,Yes,Yes,69,66,66,39
479,52,38,161,15,9,18,No,Yes,Yes,51,53,30,46
480,20,36,169,16,10,33,No,No,Yes,69,54,26,65
481,66,27,137,6,0,29,Yes,No,No,70,27,72,38
482,67,44,164,5,2,25,No,Yes,No,54,47,67,54
483,41,16,94,11,3,39,No,No,No,49,66,29,66
484,65,35,165,19,2,35,Yes,Yes,Yes,38,68,39,52
485,60,25,117,17,4,11,No,Yes,Yes,26,52,67,58
486,34,32,186,5,5,15,Yes,Yes,No,42,63,28,44
487,33,52,105,14,8,20,No,No,No,68,67,46,39
488,62,17,79,14,7,37,No,Yes,Yes,60,71,52,66
489,43,38,156,17,2,40,Yes,Yes,No,46,38,59,44
490,44,24,87,11,5,19,Yes,No,No,31,32,57,36
491,69,21,133,11,6,36,Yes,Yes,Yes,42,30,39,47
492,65,23,106,17,7,16,Yes,No,No,24,69,42,63
493,52,57,195,11,10,29,Yes,Yes,No,34,32,46,42
494,61,56,160,6,9,10,Yes,Yes,No,63,39,35,72
495,51,41,54,12,0,18,Yes,No,No,49,53,31,50
496,24,23,103,19,7,13,Yes,Yes,Yes,29,48,70,65
497,41,45,91,17,4,10,No,No,Yes,57,50,39,70
498,29,53,111,13,9,22,No,No,Yes,71,50,54,58
499,31,18,187,8,2,38,No,No,No,33,68,49,72
500,66,18,58,8,4,40,Yes,Yes,No,54,44,51,42
501,34,22,125,12,3,38,Yes,Yes,Yes,34,58,57,39
502,46,52,59,10,10,22,Yes,Yes,Yes,60,72,45,41
503,70,16,119,8,7,20,Yes,No,Yes,55,59,43,64
504,56,34,166,16,5,29,No,Yes,Yes,27,32,33,44
